geo,country,year,education,fertility,population
mwi,Malawi,1970,0.6,7.3,4633944.0
mys,Malaysia,1970,1.6,5.04,10178802.0
nam,Namibia,1970,1.5,6.52,757868.0
ner,Niger,1970,0.1,7.51,4650275.0
nga,Nigeria,1970,0.5,6.47,55893838.0
nic,Nicaragua,1970,1.9,6.77,2423065.0
nld,Netherlands,1970,6.2,2.57,13052078.0
nor,Norway,1970,6.1,2.51,3875345.0
npl,Nepal,1970,0.1,5.87,12436190.0
nzl,New Zealand,1970,6.4,3.17,2822177.0
omn,Oman,1970,0.5,7.52,662680.0
pak,Pakistan,1970,0.3,6.8,60166719.0
pan,Panama,1970,4.7,5.18,1513070.0
per,Peru,1970,2.9,6.32,13501237.0
phl,Philippines,1970,4.4,6.22,37622204.0
png,Papua New Guinea,1970,0.5,6.25,2505628.0
pol,Poland,1970,7.3,2.25,32542633.0
prt,Portugal,1970,2.2,3.01,8669523.0
pry,Paraguay,1970,2.9,5.72,2388028.0
pse,Palestine,1970,1.4,7.65,1116280.0
qat,Qatar,1970,1.5,6.23,116350.0
rou,Romania,1970,5.7,2.81,20011625.0
rus,Russia,1970,5.7,2.01,130367189.0
rwa,Rwanda,1970,0.4,8.15,3980669.0
sau,Saudi Arabia,1970,0.5,7.58,3562470.0
sdn,Sudan,1970,0.3,6.99,11695771.0
sen,Senegal,1970,0.3,7.26,4466328.0
sgp,Singapore,1970,2.2,3.07,2091558.0
slb,Solomon Islands,1970,0.9,6.98,176579.0
sle,Sierra Leone,1970,0.2,6.41,2712286.0
slv,El Salvador,1970,2.4,6.18,3668796.0
som,Somalia,1970,0.1,7.18,3738448.0
srb,Serbia,1970,4.2,1.97,7324425.0
stp,Sao Tome and Principe,1970,0.7,6.47,77626.0
sur,Suriname,1970,2.9,5.53,379442.0
svk,Slovak Republic,1970,4.5,2.42,4525871.0
svn,Slovenia,1970,4.0,2.11,1739861.0
swe,Sweden,1970,7.0,1.92,8042780.0
swz,Eswatini,1970,1.3,6.75,441216.0
syc,Seychelles,1970,3.6,5.31,54252.0
syr,Syria,1970,0.6,7.62,6380609.0
tcd,Chad,1970,0.1,6.53,3727828.0
tgo,Togo,1970,0.3,7.04,2244773.0
tha,Thailand,1970,2.8,5.45,35954408.0
tjk,Tajikistan,1970,4.2,6.91,2936779.0
tkm,Turkmenistan,1970,4.6,6.4,2195616.0
tls,Timor-Leste,1970,0.2,5.66,553069.0
ton,Tonga,1970,4.8,6.07,84401.0
tto,Trinidad and Tobago,1970,4.7,3.71,991471.0
tun,Tunisia,1970,0.5,6.43,5131396.0
tur,Turkey,1970,1.2,5.78,36638465.0
tza,Tanzania,1970,0.6,7.0,13492677.0
uga,Uganda,1970,0.7,7.15,10321603.0
ukr,Ukraine,1970,6.8,2.08,47261306.0
ury,Uruguay,1970,5.2,2.77,2790807.0
usa,USA,1970,11.0,2.52,207796339.0
uzb,Uzbekistan,1970,4.9,6.31,11762638.0
ven,Venezuela,1970,2.9,5.32,11387790.0
vnm,Vietnam,1970,2.6,6.02,41475230.0
vut,Vanuatu,1970,1.5,6.35,86266.0
wsm,Samoa,1970,4.3,7.34,140400.0
yem,Yemen,1970,0.1,8.23,7065279.0
zaf,South Africa,1970,2.5,5.63,22279984.0
zmb,Zambia,1970,1.1,7.22,4321718.0
zwe,Zimbabwe,1970,1.4,6.98,5215918.0
afg,Afghanistan,1971,0.1,7.43,11567667.0
ago,Angola,1971,0.5,7.47,5991102.0
alb,Albania,1971,4.0,5.08,2234992.0
are,UAE,1971,1.6,6.52,335027.0
arg,Argentina,1971,5.6,3.11,24257208.0
arm,Armenia,1971,6.0,3.29,2525345.0
atg,Antigua and Barbuda,1971,7.1,3.46,64729.0
aus,Australia,1971,8.5,2.95,12997964.0
aut,Austria,1971,7.3,2.19,7499635.0
aze,Azerbaijan,1971,4.6,4.76,5283505.0
bdi,Burundi,1971,0.3,7.21,3617289.0
bel,Belgium,1971,6.8,2.21,9666531.0
ben,Benin,1971,0.2,6.77,3134767.0
bfa,Burkina Faso,1971,0.1,6.7,5707999.0
bgd,Bangladesh,1971,0.6,6.83,70276758.0
bgr,Bulgaria,1971,6.5,2.11,8538898.0
bhr,Bahrain,1971,1.2,6.28,230733.0
bhs,Bahamas,1971,6.3,4.06,190857.0
bih,Bosnia and Herzegovina,1971,2.2,2.75,3809376.0
blr,Belarus,1971,6.5,2.31,9079747.0
blz,Belize,1971,3.9,6.29,122805.0
bol,Bolivia,1971,1.8,5.95,4694342.0
bra,Brazil,1971,2.2,4.84,97739273.0
bwa,Botswana,1971,1.1,6.54,600481.0
caf,Central African Republic,1971,0.3,5.99,2141450.0
can,Canada,1971,8.9,2.1,21895691.0
che,Switzerland,1971,7.6,2.04,6213530.0
chl,Chile,1971,5.4,3.65,10009701.0
chn,China,1971,1.3,5.52,844069867.0
civ,Cote d'Ivoire,1971,0.3,7.94,5650868.0
cmr,Cameroon,1971,0.6,6.26,6624408.0
cod,"Congo, Dem. Rep.",1971,0.7,6.34,20695569.0
cog,"Congo, Rep.",1971,0.8,6.42,1441039.0
col,Colombia,1971,3.3,5.06,21319096.0
com,Comoros,1971,0.2,7.12,251865.0
cpv,Cape Verde,1971,0.5,6.91,294046.0
cri,Costa Rica,1971,4.1,4.36,1888539.0
cub,Cuba,1971,5.4,3.8,8979085.0
cyp,Cyprus,1971,4.7,3.04,654050.0
cze,Czech Republic,1971,8.9,1.99,9822779.0
deu,Germany,1971,6.4,1.95,78345872.0
dji,Djibouti,1971,0.2,6.88,155136.0
dnk,Denmark,1971,8.1,2.04,4963062.0
dom,Dominican Republic,1971,2.4,6.01,4524234.0
dza,Algeria,1971,0.6,7.67,14098936.0
ecu,Ecuador,1971,3.2,6.01,6340052.0
egy,Egypt,1971,1.0,5.99,35433368.0
eri,Eritrea,1971,0.2,6.54,1276154.0
esp,Spain,1971,2.4,2.9,34157451.0
est,Estonia,1971,6.6,2.2,1374514.0
eth,Ethiopia,1971,0.1,6.84,28600106.0
fin,Finland,1971,6.5,1.69,4612127.0
fji,Fiji,1971,3.8,4.51,541121.0
fra,France,1971,5.8,2.5,51293059.0
gab,Gabon,1971,1.2,5.16,608348.0
gbr,UK,1971,8.4,2.34,55890372.0
geo,Georgia,1971,7.5,2.71,4843145.0
gha,Ghana,1971,1.2,6.95,9176264.0
gin,Guinea,1971,0.1,6.26,4355200.0
gmb,Gambia,1971,0.3,6.33,539388.0
gnb,Guinea-Bissau,1971,0.1,6.06,586221.0
gnq,Equatorial Guinea,1971,0.9,5.81,315940.0
grc,Greece,1971,4.5,2.41,8787038.0
gtm,Guatemala,1971,1.1,6.55,5538355.0
guy,Guyana,1971,3.7,5.26,712662.0
hnd,Honduras,1971,1.9,7.11,2834616.0
hrv,Croatia,1971,3.4,1.97,4480162.0
hti,Haiti,1971,0.6,5.88,4723244.0
hun,Hungary,1971,7.1,1.93,10343969.0
idn,Indonesia,1971,1.2,5.4,118833702.0
ind,India,1971,0.7,5.57,558096387.0
irl,Ireland,1971,6.4,3.93,2993120.0
irn,Iran,1971,0.8,6.55,30029071.0
irq,Iraq,1971,1.3,7.06,10077809.0
isr,Israel,1971,7.0,3.85,2977300.0
ita,Italy,1971,5.1,2.4,53707795.0
jam,Jamaica,1971,4.7,5.21,1903728.0
jor,Jordan,1971,1.3,8.15,1645145.0
jpn,Japan,1971,8.3,2.09,107952030.0
kaz,Kazakhstan,1971,4.9,3.53,12684813.0
ken,Kenya,1971,0.8,7.92,11788904.0
kgz,Kyrgyz Republic,1971,5.1,5.18,3101442.0
khm,Cambodia,1971,0.7,6.01,6620880.0
kir,Kiribati,1971,2.8,5.55,58652.0
kor,South Korea,1971,5.0,4.26,33239853.0
kwt,Kuwait,1971,1.4,6.84,865076.0
lao,Lao,1971,0.4,6.3,2734628.0
lbn,Lebanon,1971,1.7,5.05,2446314.0
lbr,Liberia,1971,0.3,6.54,1504077.0
lca,St. Lucia,1971,4.6,5.95,104564.0
lka,Sri Lanka,1971,3.5,4.27,12551910.0
lso,Lesotho,1971,2.5,5.7,1056246.0
ltu,Lithuania,1971,5.1,2.41,3170709.0
lux,Luxembourg,1971,5.7,1.95,341956.0
lva,Latvia,1971,6.3,2.02,2377073.0
mar,Morocco,1971,0.3,6.62,15527225.0
mda,Moldova,1971,5.7,2.56,3677927.0
mdg,Madagascar,1971,0.8,7.07,6868868.0
mdv,Maldives,1971,2.0,7.38,127035.0
mex,Mexico,1971,2.6,6.42,52412558.0
mhl,Marshall Islands,1971,2.8,8.04,23366.0
mkd,North Macedonia,1971,3.9,2.93,1691216.0
